all_api,cuckoo+droidmon,Restricted API,Highly-Correlation API,Sensitive Operation/API
android.app.ApplicationPackageManager/setComponentEnabledSetting,android.app.ApplicationPackageManager/setComponentEnabledSetting,android.net.ConnectivityManager/startUsingNetworkFeature,android.webkit.WebSettings/setMinimumFontSize,java.net.URLConnection/connect
android.app.NotificationManager/notify,android.app.NotificationManager/notify,android.telephony.SubscriptionManager/addOnSubscriptionsChangedListener,android.webkit.WebView/setDownloadListener,java.net.HttpURLConnection/connect
android.util.Base64/decode,android.util.Base64/decode,android.location.LocationManager/getBestProvider,javax.crypto.NoSuchPaddingException/printStackTrace,java.net.Socket/connect
android.telephony.TelephonyManager/listen,android.telephony.TelephonyManager/listen,android.accounts.AccountManager/hasFeatures,java.security.InvalidKeyException/printStackTrace,android.os.PowerManager/newWakeLock
android.util.Base64/encode,android.util.Base64/encode,android.accounts.AccountManager/getAccounts,java.util.concurrent.ThreadPoolExecutor/getCompletedTaskCount,android.content.Context/startService
android.util.Base64/encodeToString,android.util.Base64/encodeToString,android.telephony.SmsManager/sendMultipartTextMessage,java.util.concurrent.ThreadPoolExecutor/getTaskCount,android.content.Context/stopService
android.net.ConnectivityManager/setMobileDataEnabled,android.net.ConnectivityManager/setMobileDataEnabled,android.accounts.AccountManager/getAuthToken,android.webkit.WebSettings/setTextSize,android.content.Context/bindService
android.content.BroadcastReceiver/abortBroadcast,android.content.BroadcastReceiver/abortBroadcast,android.provider.Browser/truncateHistory,java.security.cert.Certificate/getPublicKey,android.app.ActivityManager/getRunningTasks
android.telephony.SmsManager/sendTextMessage,android.telephony.SmsManager/sendTextMessage,android.net.sip.SipManager/close,android.telephony.TelephonyManager/getVoiceMailAlphaTag,android.app.ActivityManager/getRunningServices
android.telephony.SmsManager/sendMultipartTextMessage,android.telephony.SmsManager/sendMultipartTextMessage,android.net.sip.SipManager/unregister,android.net.NetworkInfo/getExtraInfo,android.app.ActivityManager/killBackgroundProcesses
java.lang.Runtime/exec,java.lang.Runtime/exec,android.app.KeyguardManager/exitKeyguardSecurely,java.util.zip.Adler32/reset,android.app.ActivityManager/getRunningAppProcesses
java.lang.ProcessBuilder/start,java.lang.ProcessBuilder/start,android.accounts.AccountManager/getAuthTokenLabel,java.io.LineNumberReader/close,android.content.Context/startActivity
java.io.FileOutputStream/write,java.io.FileOutputStream/write,android.location.LocationManager/addGpsStatusListener,java.util.jar.JarFile/entries,android.content.Context/sendBroadcast
java.io.FileInputStream/read,java.io.FileInputStream/read,android.media.MediaRecorder/setVideoSource,java.util.jar.JarEntry/getName,android.content.Context/registerReceiver
android.app.ActivityManager/killBackgroundProcesses,android.app.ActivityManager/killBackgroundProcesses,android.provider.Contacts/queryGroups,android.os.HandlerThread/isAlive,android.content.BroadcastReceiver/abortBroadcast
android.os.Process/killProcess,android.os.Process/killProcess,android.telephony.SubscriptionManager/getActiveSubscriptionInfo,android.location.LocationManager/setTestProviderEnabled,java.lang.Class/forName
android.content.ContentResolver/query,android.content.ContentResolver/query,android.telephony.TelephonyManager/getVoiceMailNumber,android.telephony.SignalStrength/getEvdoSnr,java.lang.Class/getDeclaredMethod
android.content.ContentResolver/registerContentObserver,android.content.ContentResolver/registerContentObserver,android.hardware.Camera/open,android.app.AlertDialog/onCreate,java.lang.Class/getDeclaredMethods
android.content.ContentResolver/insert,android.content.ContentResolver/insert,android.provider.ContactsContract/newSetOperation,java.security.spec.RSAPrivateCrtKeySpec/RSAPrivateCrtKeySpec,java.lang.Class/getDeclaredField
android.accounts.AccountManager/getAccountsByType,android.accounts.AccountManager/getAccountsByType,android.telephony.TelephonyManager/getAllCellInfo,android.view.animation.AlphaAnimation/start,java.lang.reflect.Method/invoke
android.accounts.AccountManager/getAccounts,android.accounts.AccountManager/getAccounts,android.provider.Browser/clearSearches,java.lang.Exception/fillInStackTrace,java.lang.reflect.Proxy/newProxyInstance
android.location.Location/getLatitude,android.location.Location/getLatitude,android.telephony.TelephonyManager/getVoiceMailAlphaTag,android.telephony.SignalStrength/getCdmaEcio,android.view.ViewManager/addView
android.location.Location/getLongitude,android.location.Location/getLongitude,android.telephony.gsm.SmsManager/divideMessage,android.telephony.TelephonyManager/getVoiceMailNumber,android.view.ViewManager/removeView
android.content.ContentResolver/delete,android.content.ContentResolver/delete,android.inputmethodservice.KeyboardView/swipeDown,java.text.SimpleDateFormat/applyLocalizedPattern,android.view.ViewGroup/addView
android.media.AudioRecord/startRecording,android.media.AudioRecord/startRecording,android.net.sip.SipManager/isOpened,java.security.interfaces.RSAPrivateKey/getModulus,android.widget.TextView/setText
android.media.MediaRecorder/start,android.media.MediaRecorder/start,android.location.LocationManager/isProviderEnabled,java.net.URLClassLoader/loadClass,android.app.AlertDialog/AlertDialog
android.os.SystemProperties/get,android.os.SystemProperties/get,android.telephony.gsm.SmsManager/sendMultipartTextMessage,java.net.NetworkInterface/getDisplayName,android.view.WindowManager/aadView
android.app.ApplicationPackageManager/getInstalledPackages,android.app.ApplicationPackageManager/getInstalledPackages,android.net.sip.SipManager/getSessionFor,java.util.zip.Adler32/update,android.util.Base64/encode
libcore.io.IoBridge/open,libcore.io.IoBridge/open,android.telephony.TelephonyManager/getDeviceId,java.util.zip.Adler32/getValue,android.util.Base64/decode
android.telephony.SmsManager/getAllMessagesFromIcc,android.telephony.SmsManager/getAllMessagesFromIcc,android.telephony.TelephonyManager/getNeighboringCellInfo,java.nio.charset.CoderResult/toString,javax.crypto.Cipher/doFinal
