all_api,select_api_50,443_api 48_important,permission,intent
android.os.HandlerThread/isAlive,android.telephony.TelephonyManager/getSimSerialNumber,java.util.WeakHashMap/keySet,,
android.provider.Settings$Secure/getString,android.telephony.TelephonyManager/getSubscriberId,java.util.WeakHashMap/size,,
android.telephony.cdma.CdmaCellLocation/getBaseStationId,android.telephony.TelephonyManager/requestCellInfoUpdate,javax.crypto.Cipher/getInstance,,
android.telephony.cdma.CdmaCellLocation/getNetworkId,androidx.camera.core.ImageCapture/takePicture,javax.crypto.Cipher/init,,
android.telephony.gsm.GsmCellLocation/getCid,java.net.InetAddress/getHostAddress,,,
android.telephony.gsm.GsmCellLocation/getLac,java.net.NetworkInterface/getHardwareAddress,,,
android.telephony.TelephonyManager/getAllCellInfo,,,,
android.telephony.TelephonyManager/getCellLocation,,,,
android.telephony.TelephonyManager/getDeviceId,,,,
android.telephony.TelephonyManager/getImei,,,,
android.telephony.TelephonyManager/getMeid,,,,
android.telephony.TelephonyManager/getNetworkOperator,,,,
android.telephony.TelephonyManager/getServiceState,,,,
android.telephony.TelephonyManager/getSimCountryIso,,,,
android.telephony.TelephonyManager/getSimOperator,,,,
android.telephony.TelephonyManager/getSimSerialNumber,,,,
android.telephony.TelephonyManager/getSubscriberId,,,,
android.telephony.TelephonyManager/listen,,,,
android.telephony.TelephonyManager/requestCellInfoUpdate,,,,
android.util.Base64/decode,,,,
android.util.Base64/encode,,,,
android.view.ViewGroup/addView,,,,
android.webkit.WebView/getVisibility,,,,
android.widget.EditText/getContext,,,,
android.widget.EditText/setFocusable,,,,
android.widget.LinearLayout/setBackgroundDrawable,,,,
android.widget.TextView/setText,,,,
androidx.camera.core.ImageCapture/takePicture,,,,
java.io.File/delete,,,,
java.io.File/renameTo,,,,
java.io.FileNotFoundException/toString,,,,
java.io.FileOutputStream/write,,,,
java.io.FileReader/read,,,,
java.lang.Class/forName,,,,
java.lang.Class/getDeclaredField,,,,
java.lang.Class/getDeclaredMethod,,,,
java.lang.Exception/fillInStackTrace,,,,
java.lang.reflect.AccessibleObject/setAccessible,,,,
java.lang.reflect.Method/invoke,,,,
java.lang.Runtime/getRuntime,,,,
java.net.InetAddress/getHostAddress,,,,
java.net.NetworkInterface/getHardwareAddress,,,,
java.net.Socket/connect,,,,
java.net.URISyntaxException/getCause,,,,
java.nio.channels.FileChannel/lock,,,,
java.nio.charset.CoderResult/isError,,,,
java.nio.charset.CoderResult/isOverflow,,,,
java.util.concurrent.FutureTask/done,,,,
java.util.WeakHashMap/keySet,,,,
java.util.WeakHashMap/size,,,,
javax.crypto.Cipher/getInstance,,,,
javax.crypto.Cipher/init,,,,
